gx     gy    gz     ax    ay    az
64865  173  64583  12577  63879  53996
64869  172  64585  13042  63430  52100
64868  169  64592  11850  63705  50950
64873  157  64580  10124  64112  50741
64878  170  64578  9093  64489  51775
64878  179  64572  8583  64626  51720
64882  168  64586  8412  64844  50993
64866  162  64593  7990  65106  52497
64880  169  64583  7810  64819  50225
64888  176  64580  6920  64786  50375
64870  172  64575  6770  64831  49534
64883  170  64583  7041  64071  48522
64876  179  64579  6765  64233  48358
64870  168  64586  6703  64470  47989
64873  158  64585  6866  64556  47896
64888  169  64578  7909  64189  46658
64896  171  64577  8891  63856  45687
64872  172  64573  8871  64287  46140
64872  183  64582  8637  64593  46575
64872  176  64582  8613  64403  47016
64880  164  64590  8679  64395  47002
64876  167  64574  8188  64284  49030
64882  177  64588  8533  64332  50089
64877  175  64582  8932  64351  51075
64875  171  64586  9206  64204  52373
64866  172  64587  9535  63620  52746
64871  164  64576  9673  63190  53505
64874  162  64583  9914  63009  54211
64873  168  64579  10115  62933  55042
64858  176  64582  10628  62800  56758
64877  179  64578  11014  62732  57916
64874  176  64590  11003  62771  58974
64854  174  64577  11120  62928  59553
64882  175  64587  11732  63167  60302
64876  185  64578  12211  63330  61909
64879  172  64582  12322  63114  63557
64870  181  64575  12621  62689  65252
64885  176  64590  12670  62441  20
64873  151  64589  12410  63167  65347
64879  173  64576  12437  63248  875
64881  164  64579  12623  62968  2871
64881  163  64583  12424  63076  3565
64870  164  64575  12333  63089  2955
64875  174  64584  12680  62800  4394
64863  158  64584  13022  62677  5803
64869  173  64580  13307  61962  7057
64870  168  64584  13110  62886  6144
64877  158  64580  11637  63659  5730
64885  157  64580  10681  64056  6716
64883  162  64584  10337  63763  7940
64871  161  64578  10681  63525  8597
64873  163  64577  10841  63536  7582
64865  172  64587  10700  64000  8053
64865  163  64575  11133  64115  9206
64870  167  64564  10881  64186  9977
64879  167  64575  9698  64272  9735
64873  166  64580  8754  64461  9245
64868  175  64571  9069  64478  11036
64889  185  64590  10047  64520  12404
64866  177  64567  10144  64295  11667
64881  168  64597  8914  64109  11424
64881  183  64566  7778  63620  12360
64875  176  64574  7129  63603  12951
64897  183  64579  7886  63372  13917
64881  187  64571  8054  63429  13174
64873  186  64576  5326  63593  11906
64874  171  64576  3267  64089  13979
64878  175  64571  5775  63650  15716
64888  169  64586  7622  62678  13701
64874  177  64586  4214  63438  12635
64879  174  64587  1391  65176  15335
64875  183  64585  3562  63963  18761
64874  164  64574  8932  62900  17986
64879  166  64578  7091  63678  16530
64889  173  64583  2851  64552  25807
64878  180  64575  450  64160  30483
64879  163  64579  64545  62500  20834
64881  170  64583  65109  63617  12293
64877  160  64578  1596  64872  10830
64879  169  64580  3656  65024  12881
64883  163  64584  3285  64834  16275
64872  174  64580  64992  64202  19256
64864  165  64575  61545  64755  18507
64870  182  64576  58618  18  17487
64876  163  64582  56733  392  18427
64893  172  64582  57946  152  15259
64866  160  64575  60525  1607  14255
64876  171  64580  61547  2325  15780
64856  161  64585  60544  2292  15856
64881  171  64579  59601  2036  15405
64872  169  64581  58796  2041  19446
64869  159  64581  58176  2279  25148
64884  171  64584  61172  769  24545
64827  207  64592  224  63217  19232
64882  186  64584  4595  63457  13629
64872  172  64589  7863  65049  11678
64873  175  64576  9536  958  13501
64891  165  64593  9249  1055  15837
64876  163  64588  4479  2405  20850
64870  172  64579  65192  225  20860
64883  179  64574  64859  62440  17660
64881  174  64581  4457  63025  16127
64879  177  64591  7124  64504  15137
64872  174  64581  10749  64365  13405
64875  162  64580  12492  63432  12178
64891  161  64587  9920  62907  13440
64885  169  64572  6583  62902  13780
64875  157  64588  4145  62767  14002
64863  186  64583  4917  62079  13799
64871  168  64590  6908  61909  12684
64887  165  64591  7977  61546  13108
64878  165  64581  7968  62155  13309
64885  178  64587  8025  61952  12386
64891  167  64583  8218  62373  12928
64882  171  64578  8500  63056  12669
64873  164  64585  8615  63039  11061
64866  180  64587  8760  61660  11159
64880  179  64588  9490  61126  11530
64874  172  64588  9196  62467  10676
64882  154  64571  8497  63597  9755
64879  168  64583  8522  63050  8960
64875  168  64593  8525  62393  8827
64871  165  64590  9297  62883  8189
64887  176  64580  9540  64113  6775
64870  164  64585  10904  63500  6213
64884  160  64580  12983  62827  5303
64867  163  64583  13272  63018  4541
64872  175  64593  12676  63085  3690
64874  177  64579  12269  63052  2872
64883  166  64589  11563  63409  1894
64866  158  64576  11404  63443  682
64883  182  64590  11289  63691  65052
64875  172  64588  11309  63635  63629
64869  183  64573  10830  63080  62561
64874  180  64583  10262  62803  61795
64882  170  64583  10503  62562  60553
64880  179  64585  11598  63101  58702
64888  177  64576  12796  62995  57413
64916  161  64596  12929  63353  56228
64889  168  64588  12974  63577  55033
64879  175  64572  13036  63648  54235
64883  168  64570  12918  63634  53556
64885  183  64582  12906  63638  53008
64882  165  64583  11826  64011  52970
64881  164  64582  10909  64294  52580
64879  159  64581  10469  64672  52206
64883  175  64599  9838  64232  51162
64873  164  64585  8982  64373  51091
64874  165  64583  8198  64605  51252
64872  181  64576  7898  64775  51297
64883  162  64589  6817  64943  50677
64876  170  64592  7136  65063  49796
64887  162  64582  8424  64965  48841
64877  175  64586  8944  64666  48234
64877  167  64595  9204  64527  47874
64882  170  64582  9128  64625  48078
64876  175  64573  9206  64889  48692
64872  161  64582  9421  64999  48393
64880  177  64586  9551  64910  48293
64880  164  64586  9698  64784  48986
64879  175  64594  9784  64767  49500
64876  170  64589  10034  64379  49691
64866  165  64589  10448  64232  50368
64879  170  64599  9989  64093  50909
64885  173  64584  9738  63873  52029
64866  170  64577  9592  63603  52597
64870  165  64582  10246  63440  53033
64865  170  64584  10397  63408  54146
64872  174  64587  10410  63265  55164
64879  176  64582  10431  63082  56049
64870  167  64581  11008  63114  56825
64869  167  64579  10909  62922  58300
64865  171  64586  10751  63247  59501
64887  165  64584  11146  63585  60409
64874  178  64582  11649  63489  62122
64881  170  64577  12411  63082  64337
64876  165  64585  12843  62684  65396
64872  176  64569  13232  62232  42
64874  162  64589  13443  62338  598
64869  163  64577  13506  62691  1504
64875  175  64577  13209  62428  3729
64882  168  64582  13071  61961  4921
64878  169  64581  12886  61615  4095
64860  177  64574  12474  61956  3842
64887  176  64579  11389  62689  5176
64874  170  64575  10489  63651  5369
64873  181  64563  10663  63583  6125
64865  175  64570  11900  62922  5983
64878  175  64584  12141  62960  6997
64882  172  64598  11678  63266  7523
64877  170  64589  11287  63734  7017
64883  170  64583  10851  64196  7808
64893  174  64586  10341  64561  8961
64876  173  64584  11146  64181  10032
64863  167  64580  10679  64143  9437
64873  166  64574  10058  63732  9591
64874  168  64584  9210  64481  10821
64870  168  64577  8083  65084  12135
64868  169  64576  8917  64744  12129
64887  170  64582  8764  64217  11769
64878  174  64596  7602  63576  11906
64870  174  64575  6891  64288  13215
64879  158  64575  7270  63858  13469
64882  173  64591  7644  63631  12311
64872  171  64591  6538  64163  12404
64870  174  64589  4687  64654  13131
64876  165  64585  5321  63872  14881
64873  181  64581  7088  64228  13484
64858  165  64578  4359  64595  13004
64867  167  64580  2490  64873  16287
64879  182  64591  5901  63852  26365
64881  181  64588  11092  62357  30100
64870  167  64594  8333  64395  19889
64884  170  64582  65064  65197  19103
64883  167  64577  59771  64262  18468
64884  174  64581  63034  64637  16963
64881  174  64589  703  64302  13305
64877  163  64580  4440  65360  12504
64869  173  64583  5530  64314  14891
64879  155  64586  2619  64561  17863
64881  165  64593  64117  64881  18543
64884  161  64597  61811  65375  18729
64875  165  64581  61393  64943  17366
64867  170  64587  62264  64984  15947
64881  160  64583  62804  537  16566
64864  165  64583  62668  1486  16111
64895  173  64582  62680  1324  15699
64883  173  64577  63186  873  15656
64859  174  64579  63152  806  15050
64871  178  64592  62153  1040  14928
64886  168  64590  61249  698  17240
64879  170  64585  60095  3  22659
64871  160  64585  59407  65524  25860
64881  181  64580  60990  65381  24112
64894  163  64592  65311  64142  19057
64871  162  64590  3869  62096  14576
64884  177  64581  7106  64126  11363
64879  187  64580  8914  649  11320
64880  159  64593  8919  26  16949
64865  168  64577  6372  294  17436
64882  174  64574  4195  105  16228
64886  186  64569  5342  64306  15725
64874  170  64583  9194  62885  14569
64874  174  64581  11321  62194  13421
64874  162  64586  10448  62854  11595
64890  173  64586  8894  63497  12099
64886  176  64588  6717  63825  11969
64885  171  64591  6250  63173  12318
64879  176  64579  7125  62506  12716
64867  166  64564  8474  62426  11586
64877  178  64580  8264  62871  12571
64874  172  64577  7784  62792  12853
64873  174  64585  8691  62515  12595
64879  178  64587  9705  62661  12213
64854  167  64582  9546  62266  11665
64871  180  64581  9775  62474  12957
64879  181  64579  9847  61648  12746
64883  161  64583  9849  61254  10892
64886  183  64580  9411  61974  11445
64877  161  64587  9735  62253  10819
64893  181  64587  10430  62007  10020
64877  168  64591  11333  61414  9768
64883  171  64588  11121  61389  8963
64837  201  64578  9608  62850  8475
64889  163  64591  9797  63485  8101
64868  175  64580  10690  62839  7635
64882  160  64577  11726  62145  6332
64885  172  64583  11845  62853  5243
64876  165  64586  11758  63250  4471
64887  165  64582  11354  63429  3782
64865  160  64587  11738  62881  2621
64874  168  64580  12006  62857  1008
64872  175  64579  12957  63279  65154
64890  167  64575  13098  63970  64677
64879  161  64582  12387  63856  64995
64869  164  64570  11474  63214  63300
64889  155  64584  11533  62747  62049
64872  159  64581  12222  63531  60672
