gx     gy    gz     ax    ay    az
64872  170  64588  7130  32760  59839
64879  164  64579  6298  32760  62080
64882  166  64590  9209  29338  61700
64890  162  64581  12819  22582  61211
64865  166  64574  13584  18772  60653
64881  162  64586  13301  15003  60072
64876  159  64579  16247  8183  62077
64886  162  64577  19504  8459  63682
64875  162  64589  20349  12961  65392
64875  159  64584  18282  12924  333
64878  160  64589  15895  9207  63513
64881  172  64586  14400  9014  59912
64878  150  64589  12823  15094  60746
64876  160  64587  8548  29281  58057
64882  169  64582  1591  32760  57383
64781  219  64574  2446  32760  57753
64871  168  64579  5170  32760  55848
64884  174  64588  1941  32760  57335
64871  168  64589  58644  32760  60239
64892  171  64591  52627  25012  60630
64874  169  64580  53438  17546  61168
64873  171  64579  56339  15086  63488
64884  175  64588  58481  14405  65449
64905  174  64575  56448  12511  3469
64877  178  64583  51715  5156  6579
64867  166  64572  50467  778  5282
64889  173  64590  50662  65113  1663
64890  170  64579  51681  5260  383
64869  184  64582  54028  10373  2180
64884  168  64574  55318  8064  1617
64877  183  64578  53977  7256  247
64872  176  64568  50889  17311  62802
64890  172  64573  57820  23328  62127
64880  165  64575  3448  26121  57783
64862  171  64579  10431  30617  55903
64869  172  64578  7143  31262  59144
64896  174  64568  2448  29542  64883
64871  185  64583  4222  27626  62417
64876  174  64584  9262  23943  60088
64884  175  64590  11999  19774  57681
64892  174  64567  13651  14656  59230
64880  167  64575  15598  9198  61879
64891  171  64581  18635  5587  63978
64872  167  64588  20134  4200  64824
64885  186  64577  20200  7218  873
64881  162  64588  18869  11704  64433
64907  169  64563  20761  14740  59862
64884  154  64573  19157  19983  58772
64877  157  64579  7835  32760  54869
64879  156  64578  5652  32760  56201
64882  179  64571  8201  32760  55636
64881  169  64578  7707  32760  53242
64880  168  64577  64265  32760  57144
64884  182  64577  55587  32760  61800
64876  164  64581  55424  27743  61970
64887  176  64569  56093  18343  62857
64879  183  64593  54879  14760  2278
64888  174  64577  51951  6953  4591
64880  168  64571  50176  64949  4274
64875  157  64578  48008  61509  4393
64880  173  64574  48147  63706  3675
64873  189  64582  49175  5597  158
64868  188  64575  49592  10362  1125
64890  167  64578  50865  9521  102
64878  169  64597  52777  12395  63945
64865  180  64578  49351  16609  61344
64870  161  64588  50797  20008  59282
64891  157  64578  58197  27597  56601
64878  175  64585  461  32760  54578
64865  183  64581  5905  32760  56305
64845  169  64582  6819  28697  54529
64877  168  64585  5531  23110  64730
64884  160  64591  3180  20612  64436
65087  69  64590  9622  20775  57346
64863  103  64597  13557  17965  57940
64877  193  64590  13706  13120  61144
64877  169  64582  14609  6032  63943
64889  162  64579  16099  5601  65010
64880  167  64579  15622  7967  62549
64877  166  64586  13765  10285  61277
64879  166  64578  13380  10901  61927
64877  173  64568  12458  13046  59363
64883  172  64578  8118  21813  56451
64873  183  64582  1891  30662  54690
64878  169  64592  606  32760  56597
64872  159  64579  1855  32760  54833
64870  179  64586  63414  32760  53267
64855  172  64590  59716  32760  56371
64873  170  64588  58416  32760  59091
64887  179  64587  61380  32760  62047
64876  167  64581  63698  28764  63780
64881  162  64587  61276  21371  65009
64866  203  64582  58896  14207  2068
64869  169  64591  54929  3660  3246
64881  174  64579  52813  63597  830
64883  172  64574  50303  62794  64485
64868  175  64575  48569  65175  64443
64864  164  64598  49412  3081  581
64880  181  64573  51564  4394  1332
64889  167  64580  50311  6757  1410
64869  184  64577  46317  12533  63176
64881  175  64570  45714  19959  62470
64881  160  64575  51972  29475  61534
64880  179  64580  58823  32760  60347
64891  157  64587  64416  25972  59504
64868  152  64576  61959  24615  59845
64886  152  64575  59926  20142  62243
64878  170  64574  61518  19219  62945
64866  166  64583  64790  19905  62222
64873  161  64583  4129  16800  59573
64873  158  64571  8919  12742  60216
64892  165  64580  12277  10731  62381
64876  169  64584  12542  12515  371
64898  159  64578  12270  12689  64768
64887  175  64577  11574  11167  62022
64872  158  64570  11884  12142  59161
64882  174  64590  11540  18977  57020
64866  166  64574  4094  30386  54217
64875  171  64577  64051  32760  55841
64838  151  64554  63716  32760  53775
64861  170  64596  63446  32760  49383
64866  162  64589  60120  32760  50264
64869  172  64583  60022  32760  52413
64880  176  64582  61121  32760  55960
64880  172  64589  60990  31364  61510
64875  181  64580  57890  21785  61064
64873  183  64585  56416  12015  64820
64884  178  64578  56255  3438  65371
64884  166  64576  55362  64045  401
64877  167  64585  51813  62023  64956
64881  174  64586  48512  61294  65312
64876  180  64584  45971  64864  65384
64877  164  64581  48928  4105  64843
64867  173  64590  51177  10643  64214
64863  170  64581  48034  14722  62101
64878  181  64598  41047  19297  58462
64864  162  64583  42760  18429  61172
64893  164  64586  49575  25175  57912
64863  170  64587  55677  28112  60262
64863  157  64578  57299  24119  64035
64879  168  64571  56698  20644  65212
64832  139  64580  59057  21308  64032
64896  107  64578  63249  22894  62003
65151  46  64546  3149  23118  59350
