gx     gy    gz     ax    ay    az
64867  165  64576  59950  28061  51945
64865  174  64573  60212  26523  53299
64881  178  64578  60489  24187  54329
64868  174  64578  60232  22773  53605
64888  171  64589  59251  23287  53737
64868  169  64586  58031  23423  54682
64879  180  64586  57659  21519  56548
64879  174  64580  58150  18623  59646
64873  174  64595  58604  15861  59949
64882  165  64572  59077  14483  59177
64890  168  64573  59033  14747  58637
64881  165  64585  58189  15406  60336
64874  184  64585  57433  14756  62152
64866  174  64587  57491  13701  62620
64883  162  64574  58427  12377  62540
64873  173  64584  58307  12891  62756
64877  171  64581  56465  13486  63275
64883  172  64584  54057  13565  62365
64872  176  64582  52808  11684  61825
64870  165  64583  52857  10963  60686
64873  163  64593  52838  13318  59283
64868  175  64590  52869  14792  58378
64874  175  64581  52710  15407  57944
64888  175  64574  53110  15383  57780
64876  176  64577  53850  15912  58608
64868  174  64565  55267  16697  60174
64870  179  64589  56991  17138  61336
64873  168  64580  58481  17132  61766
64890  182  64592  59225  16406  61267
64873  166  64584  60209  16085  58942
64867  174  64588  60448  15840  56595
64885  179  64590  60709  16865  55150
64876  176  64584  61579  17316  55387
64875  175  64581  63728  17973  56269
64870  172  64583  64051  18841  57283
64875  172  64581  63649  19325  57649
64881  169  64580  63177  19212  56545
64879  173  64591  62893  17984  55012
64881  157  64586  63247  17812  54525
64868  170  64587  747  17583  56588
64877  158  64582  65430  19121  57265
64875  166  64577  62336  22174  55674
64862  181  64574  58856  23354  53125
64874  161  64576  56729  23944  51213
64888  174  64585  56301  25723  49066
64877  176  64584  56718  27104  50564
64884  167  64582  57464  27571  53072
64861  173  64585  58942  26243  54074
64881  167  64586  60184  24346  54821
64876  163  64575  60190  23278  55969
64874  179  64589  59926  21805  58028
64882  172  64585  58336  20617  59047
64882  173  64585  56794  20484  60691
64889  189  64593  55111  19387  62924
64876  180  64587  54477  18087  62221
64854  175  64588  54394  17736  63378
64852  164  64584  54439  16894  63197
64891  188  64583  52688  15660  63377
64864  175  64572  54857  15619  62560
64885  167  64598  54839  15835  61935
64878  183  64590  54683  15226  62300
64885  178  64574  54885  14687  62288
64874  173  64574  54436  13923  61169
64864  169  64583  53664  13256  60979
64895  174  64580  53784  12610  62197
64881  161  64572  54361  14168  62446
64884  171  64589  54675  15684  61850
64878  174  64582  54239  15748  61049
64883  175  64597  54607  16060  59537
64876  164  64591  55836  16416  58249
64882  155  64574  57500  16795  56402
64877  177  64585  59879  16099  56287
64871  165  64576  60750  16153  56454
64891  176  64579  60163  17111  57196
64884  165  64576  59223  18931  58202
64878  171  64577  58620  18919  58595
64874  166  64582  59075  17928  58148
64874  164  64586  60270  16392  57423
64873  163  64586  61184  14802  57239
64885  176  64579  61568  13320  58174
64863  163  64595  61269  12632  58929
64890  180  64585  61033  12531  58413
64881  169  64580  61266  12635  58255
64886  169  64577  61028  12797  57878
64885  173  64584  60774  12816  57446
64883  175  64584  60663  13802  57569
64885  174  64593  61446  14411  57413
64882  161  64585  62096  14742  57360
64869  175  64587  62437  15316  57852
64886  164  64579  62193  16326  58316
64868  163  64582  62175  17444  58699
64871  175  64581  62735  18704  58861
64879  169  64585  62628  19470  58915
64874  168  64568  61936  20204  59108
64859  175  64576  61452  20783  59643
64869  173  64577  61547  22034  58936
64871  175  64576  61917  23168  58944
64881  166  64579  61466  23961  58800
64880  187  64579  60917  24524  58864
64878  169  64591  61656  23338  60468
64875  166  64582  62557  23089  61766
64877  183  64586  63055  24741  61473
64872  165  64599  62757  25523  61409
64874  168  64586  61400  25717  61168
64881  168  64585  59597  25785  60674
64859  170  64592  58780  25352  60503
64870  175  64581  58209  25206  60561
64868  168  64591  57204  25340  60628
