gx     gy    gz     ax    ay    az
64881  177  64580  32760  63596  56054
64872  168  64577  32760  63049  61111
64869  162  64579  30897  61564  1650
64890  169  64575  22363  62361  5794
64882  168  64584  15728  64220  4003
64882  165  64574  10556  72  291
64878  169  64576  6940  685  62115
64872  161  64576  4492  305  60678
64868  173  64580  3480  64880  59975
64875  156  64578  2737  63897  61242
64883  174  64591  228  64617  64643
64881  166  64580  63275  64993  3051
64877  157  64564  62079  64921  4268
64872  166  64578  62671  686  4655
64874  160  64580  63762  994  3148
64888  181  64569  63083  301  1415
64882  174  64556  62934  505  65258
64868  176  64582  64342  1115  65092
64896  164  64580  307  1441  65040
64874  173  64582  1403  1139  64269
64865  170  64571  2146  523  63296
64866  172  64573  4283  366  63998
64875  163  64563  7665  424  62600
64873  170  64566  12584  102  63124
64871  178  64586  18189  64881  61140
64877  152  64582  24671  64109  60497
64876  167  64572  29205  64768  410
64876  176  64580  32260  63260  8707
64873  177  64588  32748  60388  17937
64873  179  64584  32760  639  60810
64890  160  64574  32760  5080  42397
64879  161  64592  32760  2835  50627
64888  179  64572  22648  2645  59552
64868  168  64569  17799  2573  59688
64880  161  64580  12686  1156  61485
64870  158  64576  7639  65523  64459
64887  161  64580  4600  64068  814
64875  167  64583  2884  63885  1268
64862  168  64576  2018  64204  612
64886  177  64572  2393  64920  385
64879  165  64574  2223  270  246
64876  163  64584  2359  897  65124
64872  159  64573  3316  931  64815
64862  175  64582  5495  592  63966
64870  159  64580  9531  222  61518
64873  182  64575  15168  187  60888
64878  168  64576  22002  51  62943
64867  174  64584  28027  65464  57502
64881  186  64584  32692  65478  55405
64873  165  64578  32760  65417  60340
64862  174  64575  32760  63242  61217
64873  166  64573  32760  60646  55904
64883  178  64576  32760  60966  55195
64872  172  64577  32760  63239  59941
64881  170  64576  25893  65501  63413
64873  175  64570  17594  1578  64498
64867  166  64584  10959  1443  65039
64875  182  64577  5731  905  63743
64871  170  64574  2224  21  61901
64880  169  64584  65173  65166  61494
64877  182  64578  64422  64933  61772
64887  168  64586  63281  64556  64051
64873  172  64581  62925  65449  333
64877  172  64567  63282  850  3083
64876  169  64582  64220  1184  4073
64886  174  64577  65058  1013  2691
64868  169  64575  207  530  918
64870  166  64579  835  513  65396
64879  171  64591  1765  866  64652
64869  174  64586  2247  830  64348
64872  168  64579  2994  991  63444
64889  171  64585  3387  710  62843
64881  177  64565  4169  590  63387
64886  157  64582  6760  901  63400
64886  165  64583  14500  1258  61128
64881  180  64584  21584  1178  58995
64873  163  64588  25029  1611  61781
64882  178  64572  25547  2209  2212
64874  167  64579  27368  399  8710
64880  163  64580  29971  62778  20323
64882  174  64580  32760  64253  7773
64871  168  64585  32760  2068  47183
64879  173  64569  32760  3171  48909
64875  177  64585  22641  1919  61933
64860  177  64582  14107  1733  64107
64876  170  64571  10828  1759  63613
64884  178  64576  7509  1134  64249
64880  172  64583  4867  566  64078
64861  176  64587  3770  65337  64339
64871  163  64582  3011  65150  64029
64876  165  64584  2874  65292  65063
64869  159  64585  3406  185  64862
64865  171  64576  4541  594  63446
64880  182  64565  6433  486  62670
64877  183  64583  9286  56  62060
64881  176  64579  14409  65257  60410
64884  175  64584  21354  100  57570
64882  164  64578  27635  64962  55399
64850  146  64578  32749  63592  54989
64885  172  64581  32760  61229  56923
64898  169  64575  32760  59282  60748
64881  173  64580  32760  58294  62338
64878  172  64574  32760  59314  63492
64874  168  64585  32760  62108  1782
64877  152  64564  25020  63159  4240
64878  168  64581  18079  62808  2169
64884  172  64583  13424  63351  62820
64869  170  64578  8217  64460  61002
64876  171  64578  4385  302  60063
64871  172  64573  1900  65016  62330
64884  167  64564  64202  32  64624
64876  167  64579  61078  64887  3144
64872  155  64570  62407  275  4975
64876  182  64574  63920  1087  4390
64867  179  64580  64532  2100  2610
64874  170  64574  176  1067  1360
64873  175  64574  551  999  65113
64862  168  64579  1101  769  63735
64875  174  64576  1224  227  64118
64883  171  64576  949  237  65017
64867  181  64573  1373  86  64586
64877  176  64567  2142  65468  63710
64853  172  64587  2655  65478  64184
64896  167  64585  4865  373  63807
64883  165  64591  11014  1299  61848
64870  180  64589  20075  1253  58510
64885  182  64581  23784  1077  57661
64868  183  64586  25696  117  64268
64845  167  64566  28186  65003  7977
64883  165  64579  32695  63848  17378
64886  177  64588  32760  61718  17127
64877  170  64582  32760  643  59190
64866  191  64577  32760  2578  47207
64860  167  64574  30968  2100  54268
64890  170  64582  20422  1442  61172
64882  175  64581  15379  2165  62745
64877  171  64578  9960  1839  62619
64876  171  64578  5120  1347  64117
64868  161  64583  2323  1067  64607
64878  170  64584  1180  527  9
64875  166  64577  2032  984  64806
64896  174  64589  2589  789  64692
64882  172  64572  2387  329  64433
64877  167  64584  2921  653  64253
64879  167  64584  2901  65328  64376
64869  168  64581  4237  64955  416
64876  163  64589  5792  64821  1163
64872  170  64583  9758  65088  2654
64873  170  64586  19049  63465  4488
64894  177  64573  28202  64575  1523
64873  172  64571  32760  64132  65011
64871  177  64574  32760  62959  2628
64873  155  64569  32760  60068  63949
64868  172  64564  32760  59113  56775
64871  177  64578  32760  60925  55333
64874  172  64572  32760  63782  60191
64867  169  64575  32645  923  60505
64885  174  64589  25126  1854  62155
64880  171  64576  17086  1131  63241
64863  165  64574  10305  283  63089
64877  166  64576  5357  65168  61507
64887  181  64573  1992  64483  60194
64889  166  64585  64316  64759  62703
64885  164  64571  60539  634  1706
64880  162  64588  57177  583  4792
64870  167  64583  56303  1008  5489
64865  182  64585  59594  1143  2619
64874  174  64585  62342  487  65426
64887  177  64580  63696  65094  63995
64863  154  64572  64692  65007  65002
64882  165  64584  689  65411  65397
64887  172  64579  2483  400  65222
64874  168  64580  2718  282  64461
64872  172  64579  2927  242  63953
64876  164  64595  3312  289  63648
64879  160  64579  5584  831  63163
64874  164  64586  9750  900  61287
64878  174  64583  15321  2164  60564
64878  170  64587  20920  3602  61304
64877  180  64587  25599  2684  63351
64881  166  64569  28039  1082  3885
64869  170  64584  32760  65318  11694
64862  160  64584  32760  64806  2545
64879  159  64580  32760  1035  45143
64870  155  64593  32760  2620  43142
64872  167  64579  32760  2417  55928
64888  178  64575  24926  2272  61871
64879  161  64594  17575  1804  65227
64878  174  64582  10788  3172  1599
64875  179  64586  5924  2558  2283
64897  181  64581  2090  1503  1056
64863  177  64577  157  686  65423
64879  161  64577  64688  65175  65482
64876  169  64582  64511  65131  53
64871  164  64582  65294  65103  262
64869  172  64580  1627  65357  65255
64877  168  64584  4063  65439  63442
64877  167  64583  6746  61  62619
64869  175  64580  9974  65270  62797
64876  186  64579  17471  64821  63045
64881  172  64575  26891  65248  58285
64875  175  64574  32760  64911  53549
64878  182  64581  32760  61959  59167
64880  155  64573  32760  61087  63856
64865  168  64581  32760  61152  61589
64851  169  64586  32760  62332  57652
64868  169  64587  32760  64319  63031
64870  159  64583  27188  64521  65156
64881  173  64586  20775  63260  482
64881  162  64582  13908  62796  64876
64879  174  64580  8551  63797  63357
