gx     gy    gz     ax    ay    az
64880  170  64583  61463  18731  60626
64876  172  64588  61781  18059  61692
64871  156  64585  61935  17433  62826
64871  180  64583  62743  17791  60473
64868  161  64576  63381  17197  62062
64868  173  64578  63777  16825  60537
64873  166  64580  63501  17599  59238
64882  177  64581  62462  17074  59678
64894  167  64586  62281  17254  59530
64891  175  64577  62299  17645  59732
64885  168  64586  62473  17966  59529
64866  170  64582  62084  18847  59038
64873  169  64570  62620  18885  58930
64894  175  64579  62646  19442  57860
64870  161  64575  61463  21691  56354
64872  169  64581  60056  22408  55399
64875  178  64582  58860  22478  53889
64870  179  64586  58061  21424  54519
64874  166  64582  58240  19607  56780
64881  179  64574  58728  19240  58407
64874  183  64582  58213  19998  58550
64889  173  64581  58515  20782  58233
64876  185  64584  59019  21172  57571
64876  184  64577  58228  20965  57613
64894  171  64588  57151  20897  56955
64855  171  64571  56261  20921  56840
64880  170  64572  55710  20848  57164
64876  171  64577  56130  18877  58102
64877  163  64579  56489  16791  57953
64871  184  64582  56798  14764  58000
64887  165  64576  56846  13803  58897
64872  159  64574  56520  12883  60586
64877  190  64580  56191  11946  61393
64893  176  64571  56303  11451  60489
64879  169  64589  56389  10900  59658
64862  159  64577  55945  11074  60261
64877  161  64584  55425  11049  61441
64868  164  64581  54768  11601  61322
64884  165  64584  54773  11952  60789
64879  162  64582  54650  13472  60086
64877  167  64594  54497  15425  60055
64873  156  64588  54350  17487  61765
64880  160  64581  53821  18808  63467
64875  182  64580  54014  18492  62091
64873  168  64597  53220  19148  59519
64877  163  64584  53640  18892  58311
64874  171  64590  54669  18581  58406
64860  179  64571  56089  18582  58850
64879  176  64590  57167  19814  58570
64880  171  64593  57649  20109  58933
64885  176  64577  57530  20398  60139
64873  179  64581  57879  20117  60886
64870  167  64593  58588  19057  59794
64865  184  64585  59983  18123  58741
64874  182  64579  61336  18158  58726
64863  177  64584  62230  18038  59458
64888  174  64573  63040  17786  60522
64871  174  64579  62774  17362  62027
64882  173  64585  63347  16910  62724
64883  173  64578  64228  16564  62795
64876  173  64590  65055  16039  62426
64887  175  64576  64199  16206  61487
64876  176  64574  64180  16530  61342
64885  179  64588  64049  16400  61260
64864  159  64589  63420  16489  61387
64864  161  64571  62379  16443  60210
64885  177  64577  61756  16296  59066
64877  159  64584  61129  17609  57875
64875  164  64578  60199  20930  56932
64881  167  64583  59143  24059  57142
64872  165  64582  57484  25787  56366
64870  162  64588  56619  25744  56641
64869  167  64582  56685  24734  56934
64868  182  64595  56803  23495  57078
64871  145  64581  56408  24722  57455
64880  168  64574  55990  27470  58694
64870  167  64575  55138  26840  58536
64866  154  64579  54619  25594  56836
64860  180  64568  54819  25050  56228
64883  169  64578  54945  23906  58972
64886  167  64585  55230  21508  61048
64872  164  64578  55419  18615  60814
64876  172  64569  55638  15455  60337
64869  169  64567  56380  13092  59907
64874  172  64577  57601  11269  60784
64872  164  64579  58191  10414  61712
64883  173  64578  58162  9997  62004
64870  181  64587  57234  9843  61562
64873  175  64580  56114  9879  61190
64860  170  64591  55497  10197  61125
64865  169  64572  54671  11486  61933
64877  174  64572  53650  13631  62239
64882  172  64587  53220  15099  63120
64896  174  64582  53494  15938  63426
64887  166  64584  53366  18255  62464
64873  170  64583  53081  20152  61910
64870  168  64588  53928  21059  61799
64873  180  64583  54797  21240  61780
64866  170  64589  56487  19970  62718
64880  169  64580  57824  19386  62107
64887  182  64581  58592  19441  61306
64892  175  64585  59302  19158  60580
64886  157  64594  59301  18852  60362
64879  173  64582  59723  18393  60852
64868  172  64591  59770  18756  61385
64885  165  64591  60578  18240  61277
64865  165  64587  60687  17930  60472
64879  173  64583  61045  17318  60190
64870  167  64580  62491  17377  60798
64876  177  64582  63141  17548  61665
64862  180  64579  62705  17627  61758
64877  160  64573  63462  18458  61418
64880  173  64589  63680  19929  62528
64863  163  64582  63464  21420  64482
64879  164  64585  63315  21535  64091
64870  164  64588  63848  20608  60765
64876  171  64584  64434  19151  58392
64888  164  64574  65142  18581  57151
