gx     gy    gz     ax    ay    az
64874  174  64573  59529  10840  62088
64880  170  64576  58865  10863  62598
64892  174  64569  58357  11520  62758
64883  168  64577  58077  12746  62024
64879  171  64577  57282  13793  61396
64866  175  64583  56258  15206  60916
64867  182  64570  55834  17387  60804
64870  162  64580  55988  19368  61754
64890  153  64573  55922  20954  62154
64868  164  64579  55752  21609  60610
64892  173  64568  56297  21102  58474
64869  187  64573  58359  19303  57744
64889  157  64573  60374  18909  57690
64880  159  64584  61681  19686  56681
64876  166  64585  62020  20736  56717
64869  167  64582  61490  20952  57489
64867  169  64576  60971  20863  58558
64876  162  64571  60748  20009  59886
64872  169  64574  61540  19271  59834
64877  165  64582  63471  17775  59817
64877  164  64585  65336  17762  60183
64880  165  64566  126  17697  61997
64885  169  64576  65353  17199  63210
64881  171  64568  64777  16796  63184
64874  154  64576  65218  16729  62040
64866  175  64585  871  17147  60946
64886  165  64572  1647  17470  61118
64877  165  64572  2033  17679  61050
64866  165  64572  1894  17728  60857
64870  171  64579  1743  17366  61332
64869  168  64582  793  17862  60674
64865  161  64578  65452  18900  59572
64882  172  64585  64860  19435  58986
64877  185  64572  64566  19744  58430
64891  184  64572  63882  19998  57704
64876  183  64589  62230  23017  54780
64892  176  64585  60297  25433  52865
64875  169  64575  60183  25378  53427
64875  159  64574  61010  23325  55305
64874  166  64571  61167  22529  56850
64872  179  64573  60361  23259  55996
64864  168  64580  58840  24508  55701
64870  167  64575  58117  24533  56305
64890  187  64574  57065  22889  56909
64881  174  64575  56449  20707  56159
64878  177  64571  56678  18522  55822
64877  184  64572  57623  16890  56641
64870  165  64578  58688  15389  58399
64878  182  64574  59060  14124  59414
64863  166  64576  58869  13082  59814
64866  179  64567  58513  12460  60102
64863  170  64578  58782  12009  61286
64886  164  64580  59303  11966  61793
64883  172  64567  59495  11697  62040
64867  165  64579  59463  11091  62490
64874  169  64577  59495  11007  62574
64862  162  64568  59161  10964  61843
64856  165  64577  59176  11078  61615
64881  169  64579  58336  11788  61933
64869  167  64574  57182  13332  60954
64878  165  64576  56049  14316  60141
64884  170  64568  55922  14358  60461
64892  166  64568  56394  14639  61079
64872  171  64573  55721  17672  60992
64876  171  64575  55590  18802  61791
64876  170  64573  56228  18539  61867
64873  171  64577  57586  17991  60561
64871  167  64573  58579  17980  59081
64880  170  64582  58536  19065  58352
64896  159  64562  58270  19052  57798
64875  176  64578  58473  19227  56554
64881  171  64572  58560  19898  55938
64880  165  64570  58946  19841  56813
64881  171  64577  60036  18975  58180
64886  155  64573  61065  18211  59534
64883  165  64568  62842  18649  60412
64873  167  64588  64046  18069  61518
64871  173  64578  64101  17792  62723
64871  164  64570  63853  17872  62772
64874  165  64570  63983  17791  62540
64878  166  64574  64595  17504  61432
64881  165  64568  4  17839  60510
64878  176  64572  945  17808  60607
64876  157  64582  1304  17833  60419
64877  168  64569  1470  18420  60317
64872  166  64577  1318  19547  60453
64861  151  64574  1070  20468  60373
64875  165  64577  870  21103  59590
64872  176  64570  400  20651  59094
64888  169  64565  65122  20958  57901
64878  167  64575  63661  22986  55433
64870  165  64578  62038  24886  53255
64877  170  64581  61165  25162  53982
64870  166  64563  61167  23856  54875
64889  174  64576  61852  22173  55805
64873  171  64571  61644  22215  55781
64879  176  64568  60601  22645  55368
64878  173  64573  59153  23078  55278
64872  160  64574  58214  22923  56042
64879  175  64567  57972  22022  56398
64878  161  64585  57502  20872  56096
64878  169  64578  57041  19817  55910
64870  173  64569  57097  18355  56994
64874  174  64566  57586  16781  58053
64870  183  64569  57633  15616  59228
64871  161  64577  57924  14579  60525
64867  177  64562  58261  13733  61604
64889  174  64562  58567  12798  62055
64881  167  64565  58941  11964  62105
64887  167  64580  59123  11173  62115
64882  177  64574  58951  10648  62200
64888  185  64579  58514  9993  63023
64884  177  64573  58511  9602  62889
64867  174  64578  58150  10886  61422
64882  163  64591  57799  11829  60984
64875  162  64575  56853  12410  61385
64881  170  64577  56542  13337  61759
64870  163  64575  56018  14790  60882
64883  177  64573  55863  17425  59811
64879  164  64567  55934  18926  60317
64872  181  64583  56211  19796  60982
64875  164  64575  56849  19833  60833
64879  170  64569  58495  18778  60831
64878  167  64572  59311  18999  59363
64870  166  64574  59168  19693  57986
64867  166  64576  58920  19518  57899
64888  159  64578  58719  19900  58034
64886  170  64565  58905  19815  58583
64872  173  64563  60141  19284  59257
64877  170  64577  61406  18017  59936
64871  185  64574  62845  17326  60681
64868  183  64570  63996  17448  60989
64872  186  64582  63796  17258  62499
64881  170  64574  63720  17884  63113
64886  183  64579  63680  17957  62498
64888  188  64587  63994  17533  61157
64872  166  64569  64753  17113  59958
64890  177  64571  65274  17204  60196
64880  172  64573  67  17230  60940
64883  179  64577  65450  17624  61711
64867  179  64566  65444  18124  62072
64883  156  64566  65399  19796  61645
64869  172  64575  64785  20975  60761
64884  167  64575  64453  21327  58914
64879  168  64587  64413  20595  58143
64869  169  64578  63863  20940  57369
64875  166  64579  62587  23694  54795
64868  164  64570  61666  24922  53166
64876  160  64578  61698  23769  53970
64875  176  64580  62277  21676  55479
64871  164  64577  62143  21438  57489
64890  160  64576  61659  22296  58190
64878  163  64573  60554  23083  58091
64880  162  64578  59445  22744  57984
64876  165  64570  58957  21579  57592
64873  183  64579  58500  20681  56790
64886  182  64572  58065  20088  56225
64883  179  64580  57568  19143  56608
64883  170  64573  57704  17315  57556
64894  184  64575  57784  16119  58098
64889  178  64568  57934  15037  58290
64875  176  64568  57822  14148  59257
64872  166  64582  57665  13630  60549
64872  167  64581  57915  13078  61462
64881  170  64579  58469  12335  61155
64887  177  64560  58660  11684  61388
64871  167  64579  58483  10924  61747
64875  180  64577  58500  10263  61300
64883  169  64581  58499  10285  60910
64874  176  64574  57574  11003  60852
64871  161  64576  56660  11698  61435
64877  165  64575  55920  12810  60591
64890  171  64577  56599  13672  60229
64888  170  64580  56933  14557  60179
64878  174  64568  55567  17679  59876
64878  178  64568  55170  19229  60711
64893  172  64577  56060  18876  61515
64882  182  64573  57583  18158  60369
64878  181  64575  58951  17727  59163
64887  161  64578  59381  18126  58593
64870  169  64575  58679  18425  58790
64890  169  64583  58603  18517  58915
64878  168  64572  58788  19002  59073
64882  166  64576  59216  18955  59521
64889  173  64582  60224  18412  59961
64883  169  64582  61737  17342  60234
64884  172  64582  62901  17042  60742
64881  168  64576  63011  16763  61490
64888  162  64570  62772  17234  62246
64894  174  64564  62770  17481  62663
64881  168  64577  62976  17725  62288
64869  168  64574  63553  17971  61422
64887  176  64559  64600  18032  60602
64885  172  64580  64  17949  60192
64876  173  64578  700  17575  60903
64869  173  64571  372  17058  62283
64877  181  64576  65225  17374  61666
64880  173  64575  64299  18411  60840
64890  172  64563  63430  19374  60208
64884  177  64582  62831  19721  60220
64887  163  64571  63257  19392  59765
64884  168  64582  63429  19312  58985
64878  175  64578  62551  21481  56731
64880  179  64585  61259  23454  55356
64888  177  64580  60809  23390  55843
64892  172  64571  60920  22861  56457
64874  173  64575  61793  21544  57451
64875  166  64574  62265  20738  58714
64868  172  64576  61880  21471  58975
64888  165  64579  60957  22028  59239
