ired      red
86738   76452
86963   76536
87157   76607
87330   76666
87443   76702
87476   76717
87446   76702
87374   76687
87362   76679
87388   76687
87446   76711
87532   76733
87625   76758
87723   76792
87852   76840
87979   76884
88096   76929
88203   76963
88266   76996
87952   76892
87196   76636
86472   76371
86075   76236
86024   76205
86149   76246
86352   76317
86589   76401
86805   76475
87037   76561
87281   76652
87462   76718
87506   76735
87472   76720
87431   76700
87415   76703
87463   76722
87539   76757
87625   76786
87733   76820
87853   76865
87993   76913
88107   76952
88202   76986
88283   77025
88115   76979
87483   76761
86765   76519
86305   76352
86193   76308
86280   76331
86477   76406
86696   76476
86880   76540
87087   76613
87349   76699
87584   76791
87724   76847
87738   76852
87689   76831
87622   76809
87595   76800
87629   76815
87707   76836
87799   76876
87927   76915
88059   76961
88199   77018
88334   77064
88453   77108
88459   77116
88040   76978
87262   76716
86567   76469
86183   76319
86130   76287
86267   76329
86478   76408
86678   76479
86852   76536
87047   76602
87261   76679
87434   76741
86477   76406
86696   76476
87548   76790
87565   76800
87585   76808
87608   76826
87677   76868
87787   76868
87926   76919
88064   76969
88172   77010
88265   77041
88368   77077
88477   77113
88343   77071
87744   76871
87029   76627
86539   76447
86387   76386
86465   76407
86621   76461
86829   76527
87056   76609
87304   76706
87546   76786
87713   76846
87803   76876
87825   76881
87796   76877
87748   76858
87747   76862
87772   76868
87826   76888
87907   76913
88001   76940
88103   76972
88242   77020
88382   77068
88509   77123
88521   77136
88114   77005
87390   76758
86752   76527
86397   76392
86304   76356
86397   76383
86586   76443
86809   76530
87027   76602
87232   76675
87407   76731
87526   76777
87564   76793
87527   76777
87492   76767
87470   76759
87500   76766
87550   76775
87637   76805
87726   76840
87817   76877
87898   76897
87988   76926
88075   76960
88174   76992
87998   76942
87373   76734
86622   76470
86121   76286
85968   76224
86060   76255
86249   76319
86474   76400
86666   76477
86860   76544
87091   76619
87270   76684
87348   76708
87332   76698
87282   76686
87220   76672
87202   76658
87246   76674
87323   76698
87440   76743
87556   76779
87681   76828
87774   76856
87841   76887
87931   76924
87946   76930
87530   76798
86778   76536
86167   76327
85861   76213
85847   76208
85973   76242
86145   76299
86344   76360
86547   76439
86763   76515
86977   76592
87137   76652
87195   76675
87193   76673
87152   76659
87121   76643
87148   76649
87219   76681
87336   76722
87452   76767
87569   76806
87677   76846
87786   76889
87900   76922
87886   76939
87452   76798
86764   76560
86227   76358
85984   76262
86015   76265
86164   76324
86366   76393
86555   76458
86742   76525
86943   76596
87128   76659
87253   76701
87302   76718
87304   76715
87294   76718
87283   76718
87317   76725
87394   76749
87499   76782
87594   76815
87678   76849
87781   76887
87884   76918
87989   76949
88056   76975
87807   76895
87127   76671
86410   76415
85947   76243
85800   76184
85862   76203
86034   76260
86229   76326
86431   76390
86632   76463
86855   76545
87054   76622
87201   76678
87261   76699
87242   76689
87198   76670
87179   76671
87214   76672
87293   76705
87379   76725
87474   76750
87561   76786
87654   76820
87736   76852
87813   76877
87726   76857
87198   76682
87678   76849
87781   76887
85906   76114
85651   76112
85660   76159
85811   76234
86003   76309
86197   76309
86401   76375
86620   76455
86796   76523
86882   76551
86890   76558
86856   76535
86805   76517
86803   76510
86851   76532
86931   76560
87035   76605
87145   76636
87251   76676
87361   76716
87492   76762
87610   76806
87708   76847
87495   76782
86797   76551
86043   76282
85574   76109
85445   76062
85507   76079
85666   76129
85834   76198
86004   76249
86183   76312
86428   76398
